"","YEAR","CTYNAME","TOTVOTERS","MIDTERM"
"481",2008,"martin",10798,0
"482",2012,"martin",11039,0
"483",2016,"martin",10613,0
"484",2008,"mcleod",19124,0
"485",2012,"mcleod",18650,0
"486",2016,"mcleod",18945,0
"487",2008,"meeker",12610,0
"488",2012,"meeker",12311,0
"489",2016,"meeker",12386,0
"490",2008,"mille lacs",13612,0
"491",2012,"mille lacs",13179,0
"492",2016,"mille lacs",13111,0
"493",2008,"morrison",16850,0
"494",2012,"morrison",16837,0
"495",2016,"morrison",17756,0
"496",2008,"mower",19302,0
"497",2012,"mower",18675,0
"498",2016,"mower",17930,0
"499",2008,"murray",4868,0
"500",2012,"murray",4815,0
"501",2016,"murray",4740,0
"502",2008,"nicollet",18286,0
"503",2012,"nicollet",18453,0
"504",2016,"nicollet",18251,0
"505",2008,"nobles",8886,0
"506",2012,"nobles",8600,0
"507",2016,"nobles",8769,0
"508",2008,"norman",3478,0
"509",2012,"norman",3253,0
"510",2016,"norman",3315,0
"511",2008,"olmsted",76636,0
"512",2012,"olmsted",78681,0
"513",2016,"olmsted",80736,0
"514",2008,"otter tail",32845,0
"515",2012,"otter tail",31835,0
"516",2016,"otter tail",32788,0
"517",2008,"pennington",6856,0
"518",2012,"pennington",6563,0
"519",2016,"pennington",6776,0
"520",2008,"pine",14485,0
"521",2012,"pine",14089,0
"522",2016,"pine",13954,0
"523",2008,"pipestone",4843,0
"524",2012,"pipestone",4682,0
"525",2016,"pipestone",4847,0
"526",2008,"polk",15406,0
"527",2012,"polk",14782,0
"528",2016,"polk",14962,0
"529",2008,"pope",6577,0
"530",2012,"pope",6285,0
"531",2016,"pope",6368,0
"532",2008,"ramsey",278169,0
"533",2012,"ramsey",280010,0
"534",2016,"ramsey",274780,0
"535",2008,"red lake",2218,0
"536",2012,"red lake",2004,0
"537",2016,"red lake",1915,0
"538",2008,"redwood",7851,0
"539",2012,"redwood",7847,0
"540",2016,"redwood",7703,0
"541",2008,"renville",8185,0
"542",2012,"renville",7762,0
"543",2016,"renville",7687,0
"544",2008,"rice",31913,0
"545",2012,"rice",32415,0
"546",2016,"rice",32691,0
"547",2008,"rock",5011,0
"548",2012,"rock",4874,0
"549",2016,"rock",4908,0
"550",2008,"roseau",7756,0
"551",2012,"roseau",7414,0
"552",2016,"roseau",7883,0
"553",2008,"scott",67321,0
"554",2012,"scott",71965,0
"555",2016,"scott",75474,0
"556",2008,"sherburne",45121,0
"557",2012,"sherburne",46708,0
"558",2016,"sherburne",48533,0
"559",2008,"sibley",7765,0
"560",2012,"sibley",7868,0
"561",2016,"sibley",7841,0
"562",2008,"stearns",79028,0
"563",2012,"stearns",78926,0
"564",2016,"stearns",80202,0
"565",2008,"steele",19760,0
"566",2012,"steele",19228,0
"567",2016,"steele",19352,0
"568",2008,"stevens",5659,0
"569",2012,"stevens",5683,0
"570",2016,"stevens",5468,0
"571",2008,"st. louis",119435,0
"572",2012,"st. louis",116221,0
"573",2016,"st. louis",113351,0
"574",2008,"swift",5274,0
"575",2012,"swift",5407,0
"576",2016,"swift",5071,0
"577",2008,"todd",12313,0
"578",2012,"todd",11867,0
"579",2016,"todd",12073,0
"580",2008,"traverse",2056,0
"581",2012,"traverse",1869,0
"582",2016,"traverse",1823,0
"583",2008,"wabasha",11963,0
"584",2012,"wabasha",11847,0
"585",2016,"wabasha",11938,0
"586",2008,"wadena",7232,0
"587",2012,"wadena",6853,0
"588",2016,"wadena",7011,0
"589",2008,"waseca",9933,0
"590",2012,"waseca",9831,0
"591",2016,"waseca",9749,0
"592",2008,"washington",137323,0
"593",2012,"washington",142556,0
"594",2016,"washington",145263,0
"595",2008,"watonwan",5295,0
"596",2012,"watonwan",5179,0
"597",2016,"watonwan",5067,0
"598",2008,"wilkin",3446,0
"599",2012,"wilkin",3240,0
